key,Race,Date,distance_km,elevation_gain_m,key_race,finishers,winner_hours,top3_median_hours,km_effort,vertical_share,elite_equivalent_speed
0,VIBRAM HONG KONG 100 2019,19 January 2019,103.6,5300,0,1292,10.367222222222223,10.597222222222221,156.6,0.3384418901660281,14.77745740498034
1,PLANCONES TUNTE TRAIL 2019 - DESAFIO PILANCONES TUNTE TRAIL,19 January 2019,44.5,2540,1,112,4.253055555555555,4.6875,69.9,0.3633762517882689,14.912
2,PLANCONES TUNTE TRAIL 2019 - 27 KM,19 January 2019,26.3,1520,2,131,2.4922222222222223,2.6369444444444445,41.5,0.36626506024096384,15.737912145791636
3,TAHURA DJUANDA TRAIL RUNNING RACE 2019 - 42 KM,19 January 2019,41.3,1310,3,344,4.461388888888889,4.491944444444444,54.4,0.24080882352941177,12.11056830128007
4,THE 5TH PHOENIX RIDGE WINTER TRAIL CHALL 2019 - 29KM,19 January 2019,28.3,1940,4,264,3.475277777777778,3.5411111111111113,47.7,0.4067085953878406,13.470348289927832
5,THE 5TH PHOENIX RIDGE WINTER TRAIL CHALL 2019 - 50KM,19 January 2019,48.5,3550,5,106,7.178333333333334,7.3405555555555555,84.0,0.4226190476190476,11.443275561946567
6,SENBA COASTAL CLIFF TRAIL RUNNING RACE 2019 - LONG-SOLO,20 January 2019,37.6,2310,6,305,3.948888888888889,4.044722222222222,60.7,0.3805601317957166,15.007211043197584
7,SENBA COASTAL CLIFF TRAIL RUNNING RACE 2019 - MIDDLE,20 January 2019,20.7,1300,7,27,2.512777777777778,2.776666666666667,33.7,0.38575667655786344,12.136854741896759
8,SENBA COASTAL CLIFF TRAIL RUNNING RACE 2019 - LONG-PAIR,20 January 2019,37.6,2310,8,30,5.721388888888889,6.217222222222222,60.7,0.3805601317957166,9.76320257349656
9,SANDSJÖBACKA TRAIL 2019 - NIGHT 25K,11 January 2019,25.8,600,9,90,2.1869444444444444,2.4066666666666667,31.8,0.18867924528301885,13.213296398891966
10,SANDSJÖBACKA TRAIL 2019 - SPRINT TRIPLE,11 January 2019,78.0,1700,10,64,6.489444444444445,6.719166666666666,95.0,0.17894736842105263,14.138658067716731
11,SANDSJÖBACKA TRAIL 2019 - ULTRA TRIPLE,11 January 2019,167.0,3360,11,48,16.38083333333333,16.673055555555557,200.6,0.1674975074775673,12.03138796794562
12,SANDSJÖBACKA TRAIL 2019 - NIGHT 14K,11 January 2019,14.3,380,12,68,1.1952777777777779,1.2055555555555555,18.1,0.20994475138121543,15.013824884792628
13,SANDSJÖBACKA TRAIL 2019 - 14K BLACK&WHITE,11 January 2019,28.6,760,13,58,2.4544444444444444,2.47,36.2,0.20994475138121543,14.65587044534413
14,SANDSJÖBACKA TRAIL 2019 - 25K BLACK&WHITE,11 January 2019,51.6,1200,14,36,4.325,4.484444444444445,63.6,0.18867924528301885,14.182358771060455
15,CRUCE TANDILIA 2019,12 January 2019,62.7,1570,15,140,4.8925,5.039444444444444,78.4,0.2002551020408163,15.557270422224674
16,SANDSJÖBACKA TRAIL 2019 - 25K,12 January 2019,25.8,600,16,214,2.0413888888888887,2.1394444444444445,31.8,0.18867924528301885,14.863671773565308
17,SANDSJÖBACKA TRAIL 2019 - 50K,12 January 2019,52.1,1030,17,208,4.683333333333334,4.689166666666667,62.400000000000006,0.16506410256410256,13.307268526746046
18,SANDSJÖBACKA TRAIL 2019 - 14K,12 January 2019,14.3,380,18,148,1.1858333333333333,1.1930555555555555,18.1,0.20994475138121543,15.171129220023284
19,COUNTRY TO CAPITAL 2019,12 January 2019,69.2,760,19,370,4.9430555555555555,4.989444444444445,76.8,0.09895833333333333,15.39249526778755
20,SUR LES TRACES DE VAUBAN 2019 - TRAIL 35 KM,12 January 2019,36.1,120,20,113,2.707222222222222,2.8566666666666665,37.300000000000004,0.03217158176943699,13.057176196032675
21,ARTENARA TRAIL 2019 - TRAIL 30 KM,12 January 2019,29.7,1980,21,90,2.6527777777777777,2.734166666666667,49.5,0.4,18.10423651325815
22,ARTENARA TRAIL 2019 - STARTER,12 January 2019,9.5,560,22,87,0.8005555555555556,0.8055555555555556,15.1,0.3708609271523179,18.744827586206895
23,TALIHARJA VANAKURI 2019,12 January 2019,101.0,970,23,23,12.755555555555556,13.158333333333333,110.7,0.08762420957542907,8.41291956934769
24,ARTENARA TRAIL 2019 - ULTRA 50 KM,12 January 2019,51.2,3320,24,64,5.2475,6.021111111111111,84.4,0.3933649289099526,14.017346373869719
